>> format long
>> sol = rungkutta_metheorology(0, 1, 0, 0, 0, 365)

RESULTS

sol =

            time             y1 = Ta            y2 = Tm             y3 = Td
                   0                   0                   0                   0
   0.002739726027397   0.005291119900754   0.000034042333939   0.000000000633817
   0.005479452054795   0.009271388299846   0.000124011888306   0.000000004742960
   0.008219178082192   0.012280784262859   0.000255327664409   0.000000014971990
   0.010958904109589   0.014571092821084   0.000417191210561   0.000000033275257
   0.013698630136986   0.016328783423443   0.000601605389855   0.000000061095951
   0.016438356164384   0.017691953479456   0.000802647689804   0.000000099498706
   0.019178082191781   0.018762876570505   0.001015932043043   0.000000149267808
   0.021917808219178   0.019617295524264   0.001238210257344   0.000000210979922
   0.024657534246575   0.020311304768735   0.001467076838850   0.000000285057962
   0.027397260273973   0.020886447331888   0.001700750387233   0.000000371810973
   0.030136986301370   0.021373489626450   0.001937911699231   0.000000471463679
   0.032876712328767   0.021795217016172   0.002177583869813   0.000000584178362
   0.035616438356164   0.022168504183047   0.002419043496354   0.000000710071061
   0.038356164383562   0.022505848419700   0.002661754917371   0.000000849223577
   0.041095890410959   0.022816505169731   0.002905321510421   0.000001001692358
   0.043835616438356   0.023107328997066   0.003149449623824   0.000001167515078
   0.046575342465753   0.023383396399084   0.003393921864884   0.000001346715516
   0.049315068493151   0.023648467055527   0.003638577317411   0.000001539307163
   0.052054794520548   0.023905325424632   0.003883296891039   0.000001745295895
   0.054794520547945   0.024156033725670   0.004127992471070   0.000001964681956
   0.057534246575342   0.024402119295170   0.004372598882973   0.000002197461421
   0.060273972602740   0.024644713340993   0.004617067941366   0.000002443627282
   0.063013698630137   0.024884653702144   0.004861364042762   0.000002703170255
   0.065753424657534   0.025122560951623   0.005105460901598   0.000002976079372
   0.068493150684932   0.025358894757404   0.005349339132977   0.000003262342427
   0.071232876712329   0.025593995622783   0.005592984462463   0.000003561946297
   0.073972602739726   0.025828115798852   0.005836386400286   0.000003874877187
   0.076712328767123   0.026061442177948   0.006079537259464   0.000004201120809
   0.079452054794521   0.026294113248306   0.006322431428634   0.000004540662515
   0.082191780821918   0.026526231650501   0.006565064833524   0.000004893487393
   0.084931506849315   0.026757873476612   0.006807434538120   0.000005259580342
   0.087671232876712   0.026989095157092   0.007049538449298   0.000005638926126
   0.090410958904110   0.027219938561107   0.007291375098075   0.000006031509412
   0.093150684931507   0.027450434773799   0.007532943477606   0.000006437314802
   0.095890410958904   0.027680606893683   0.007774242923208   0.000006856326852
   0.098630136986301   0.027910472104374   0.008015273023506   0.000007288530090
   0.101369863013699   0.028140043208886   0.008256033554630   0.000007733909029
   0.104109589041096   0.028369329765913   0.008496524431480   0.000008192448173
   0.106849315068493   0.028598338931355   0.008736745671637   0.000008664132026
   0.109589041095890   0.028827076081535   0.008976697368629   0.000009148945096
   0.112328767123288   0.029055545274757   0.009216379672141   0.000009646871899
   0.115068493150685   0.029283749593121   0.009455792773354   0.000010157896959
   0.117808219178082   0.029511691395674   0.009694936894087   0.000010682004816
   0.120547945205479   0.029739372505888   0.009933812278756   0.000011219180019
   0.123287671232877   0.029966794350509   0.010172419188421   0.000011769407137
   0.126027397260274   0.030193958062380   0.010410757896378   0.000012332670749
   0.128767123287671   0.030420864556597   0.010648828684888   0.000012908955455
   0.131506849315069   0.030647514586909   0.010886631842764   0.000013498245868
   0.134246575342466   0.030873908787480   0.011124167663577   0.000014100526619
   0.136986301369863   0.031100047703829   0.011361436444330   0.000014715782357
   0.139726027397260   0.031325931815733   0.011598438484478   0.000015343997747
   0.142465753424658   0.031551561554198   0.011835174085198   0.000015985157472
   0.145205479452055   0.031776937314021   0.012071643548851   0.000016639246231
   0.147945205479452   0.032002059463098   0.012307847178585   0.000017306248743
   0.150684931506849   0.032226928349313   0.012543785278040   0.000017986149741
   0.153424657534247   0.032451544305644   0.012779458151125   0.000018678933978
   0.156164383561644   0.032675907653941   0.013014866101864   0.000019384586225
   0.158904109589041   0.032900018707731   0.013250009434268   0.000020103091268
   0.161643835616438   0.033123877774284   0.013484888452254   0.000020834433913
   0.164383561643836   0.033347485156154   0.013719503459572   0.000021578598981
   0.167123287671233   0.033570841152315   0.013953854759765   0.000022335571313
   0.169863013698630   0.033793946059002   0.014187942656127   0.000023105335765
   0.172602739726027   0.034016800170338   0.014421767451678   0.000023887877213
   0.175342465753425   0.034239403778793   0.014655329449145   0.000024683180549
   0.178082191780822   0.034461757175529   0.014888628950951   0.000025491230681
   0.180821917808219   0.034683860650651   0.015121666259199   0.000026312012538
   0.183561643835616   0.034905714493400   0.015354441675666   0.000027145511062
   0.186301369863014   0.035127318992284   0.015586955501800   0.000027991711217
   0.189041095890411   0.035348674435191   0.015819208038715   0.000028850597981
   0.191780821917808   0.035569781109458   0.016051199587186   0.000029722156349
   0.194520547945205   0.035790639301932   0.016282930447648   0.000030606371336
   0.197260273972603   0.036011249299009   0.016514400920196   0.000031503227973
   0.200000000000000   0.036231611386668   0.016745611304584   0.000032412711308
   0.202739726027397   0.036451725850495   0.016976561900221   0.000033334806406
   0.205479452054795   0.036671592975696   0.017207253006175   0.000034269498349
   0.208219178082192   0.036891213047116   0.017437684921170   0.000035216772237
   0.210958904109589   0.037110586349242   0.017667857943589   0.000036176613188
   0.213698630136986   0.037329713166216   0.017897772371469   0.000037149006334
   0.216438356164384   0.037548593781837   0.018127428502508   0.000038133936829
   0.219178082191781   0.037767228479567   0.018356826634058   0.000039131389839
   0.221917808219178   0.037985617542533   0.018585967063131   0.000040141350550
   0.224657534246575   0.038203761253531   0.018814850086397   0.000041163804166
